id,type,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating,bayes_average_rating,total_owners,total_traders,total_wanters,total_wishers,total_comments,total_weights,average_weight
124708,boardgame,Mice and Mystics,2012,1,4,120,120,120,7,6961,7.59293,7.34694,13528,248,993,4343,1579,468,2.6026
822,boardgame,Carcassonne,2000,2,5,45,30,45,8,52781,7.44251,7.34659,69550,981,367,3094,11794,5951,1.9501
421,boardgame,1830: Railways & Robber Barons,1986,2,7,360,180,360,14,2876,7.79247,7.34618,4108,88,296,869,1093,440,4.1182
40692,boardgame,Small World,2009,2,5,80,40,80,8,33083,7.4154,7.34043,40066,828,902,5632,6010,2516,2.3736
27708,boardgame,1960: The Making of the President,2007,2,2,90,90,90,12,6362,7.56298,7.33997,6921,236,498,1597,2289,851,3.1927
108745,boardgame,Seasons,2012,2,4,60,60,60,14,9806,7.49273,7.33935,12113,230,748,3006,1840,614,2.7476
129622,boardgame,Love Letter,2012,2,4,20,20,20,10,23682,7.42068,7.33764,40124,488,202,1629,4759,1820,1.211
45315,boardgame,Dungeon Lords,2009,2,4,90,90,90,12,9365,7.49085,7.33303,10101,304,587,2706,2151,804,3.5211
171623,boardgame,The Voyages of Marco Polo,2015,2,4,100,40,100,12,1902,8.03507,7.33137,2637,18,508,1623,403,233,3.1845
128621,boardgame,Viticulture,2013,2,6,90,90,90,13,2872,7.81614,7.32963,4341,38,634,1712,757,271,2.8819
123123,boardgame,BattleCON: Devastation of Indines,2013,1,5,45,45,45,10,1365,8.35915,7.32431,2418,37,300,910,411,110,3.0273
39856,boardgame,Dixit,2008,3,6,30,30,30,6,22099,7.41665,7.32268,27631,286,475,2997,4289,1332,1.2695
133038,boardgame,Pathfinder Adventure Card Game: Rise of the Runelords  Base Set,2013,1,4,90,90,90,13,7070,7.55852,7.32106,11496,465,355,1842,1559,581,2.7298
70323,boardgame,King of Tokyo,2011,2,6,30,30,30,8,24727,7.41,7.3204,33556,463,659,3665,4796,1695,1.5103
105134,boardgame,Risk Legacy,2011,3,5,60,60,60,13,3976,7.68888,7.32031,6340,67,328,2028,995,221,2.5701
157969,boardgame,Sheriff of Nottingham,2014,3,5,60,60,60,13,5277,7.58804,7.31909,8793,101,623,2761,950,273,1.6667
463,boardgame,Magic: The Gathering,1993,2,2,20,20,20,13,18599,7.43803,7.31069,20403,691,161,316,5015,1642,3.1267
73171,boardgame,Earth Reborn,2010,2,4,180,180,180,13,2590,7.85222,7.30812,4823,281,376,1740,853,264,3.8636
